complex_id,protein,ligand,ca_cluster,ligand_pose_cluster,cif_path
NPF2.14_Q9CAR9__holo_alphafold3_seed1049892156_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1049892156_sample-0/NPF2.14_Q9CAR9__holo_seed-1049892156_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1049892156_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1049892156_sample-4/NPF2.14_Q9CAR9__holo_seed-1049892156_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1204678177_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1204678177_sample-0/NPF2.14_Q9CAR9__holo_seed-1204678177_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1204678177_sample3,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1204678177_sample-3/NPF2.14_Q9CAR9__holo_seed-1204678177_sample-3_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1204678177_sample4,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1204678177_sample-4/NPF2.14_Q9CAR9__holo_seed-1204678177_sample-4_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1539319281_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1539319281_sample-0/NPF2.14_Q9CAR9__holo_seed-1539319281_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1539319281_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1539319281_sample-2/NPF2.14_Q9CAR9__holo_seed-1539319281_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1622091222_sample1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1622091222_sample-1/NPF2.14_Q9CAR9__holo_seed-1622091222_sample-1_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed1622091222_sample2,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-1622091222_sample-2/NPF2.14_Q9CAR9__holo_seed-1622091222_sample-2_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed349480129_sample0,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-349480129_sample-0/NPF2.14_Q9CAR9__holo_seed-349480129_sample-0_model.cif
NPF2.14_Q9CAR9__holo_alphafold3_seed349480129_sample1,NPF2.14_Q9CAR9,ABA,0,0,results/abcfold/NPF2.14_Q9CAR9__holo/alphafold3_NPF2.14_Q9CAR9__holo/seed-349480129_sample-1/NPF2.14_Q9CAR9__holo_seed-349480129_sample-1_model.cif
